Title,Reference Number,Location,Closing Date,Remuneration,Duties,Enquiries,Minimum Educational Qualification,Employment Type
Paramedic Grade 1 to 4 (Clinical Lead) (2 posts),"ECSS141/2025 Emergency Medical Services, Metropole, Chief Directorate: Emergency and Clinical Support Services","Emergency Medical Services, Metropole, Chief Directorate: Emergency and Clinical Support Services",1/9/2026,"Grade 1: R 321 372 per annum; Grade 2: R 397 308 per annum; Grade 3: R 487 014 per annum; Grade 4: R 570 267 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","The primary purpose of this role: Establish and enhance Continuous Clinical Improvement mechanisms within the WCGHW Emergency Medical Services to deliver quality, efficient roadside-to-bedside emergency care within defined timeframes across all geographic and clinical service platforms. Core Duties: Patient Care Excellence: • Ensure the dignity and rights of all patients are upheld at all times. • Maintain consistently high-quality patient care standards across the entire service. • Deliver continuous, effective, and holistic pre-hospital emergency care to the Western Cape public. Clinical Leadership & Development: • Partner with healthcare and emergency service professionals to develop evidence-based care pathways, protocols, policies, and clinical guidelines alongside the Head of Clinical Support Services. • Provide clinical advice and support to prehospital providers for effective clinical decision-making. • Establish living clinical improvement and coaching mechanisms to enhance provider capabilities. Quality Improvement & Innovation: • Design and implement targeted clinical improvement initiatives based on current evidence and contextual appropriateness. • Oversee the management and performance of recognised emergency procedures for both urgent and critical care cases. • Establish living clinical oversight models to actively monitor and evaluate clinical practice effectiveness. Strategic Implementation: • Promote patient-centred practices across the full spectrum of current and planned clinical services within WCGHW EMS. • Provide strong clinical leadership throughout the organisation to drive continuous improvement. Performance Management • Monitor service delivery against established emergency timeframes and quality benchmarks. • Evaluate and enhance clinical practices through systematic oversight and feedback mechanisms. • Drive organisational excellence through strategic leadership and clinical governance.",Dr Naseef Abdullah @naseef.abdullah@westerncape.gov.za or 063 780 8164,Grade 1: Successful completion of the Critical Care Assistant (CCA) programmes that allows registration with the Health Professions Council of South Africa (HPCSA) as Paramedic. Grade 2: Successful completion of the Critical Care Assistant programme or a Recognized National Diploma that allows registration with the HPCSA as Paramedic. Grade 3: Successful completion of the Critical Care Assistant (CCA) programme or a Recognized National Diploma that allows registration with the HPCSA as Paramedic or B Tech Degree that allows registration with the HPCSA as Emergency Care Practitioner. Grade 4: Successful completion of the Critical Care Assistant (CCA) programme or a Recognized National Diploma that allows registration with the HPCSA as Paramedic or B Tech Degree that allows registration with the HPCSA as Emergency Care Practitioner.,"Permanent Reference No: ECSS141/2025 Emergency Medical Services, Metropole, Chief Directorate: Emergency and Clinical Support Services"
Social Worker Grade 1 to 4 (Production: New Beginnings House) (6/8th post),"MHS835/2025 Stikland Hospital, Chief Directorate: Metro Health Services","Stikland Hospital, Chief Directorate: Metro Health Services",1/9/2026,"Grade 1: R 243 900 per annum; Grade 2: R 297 840 per annum; Grade 3: R 358 173 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide clinical social work services with regards to the care, support, protection and development of vulnerable individuals, groups, families and communities. Utilise specialist knowledge and skills to conduct psychosocial assessments, counsel individuals and families. Network effectively internally with the multi-disciplinary team as well as with relevant external role players. Conduct appropriate referrals to relevant role players and stake holders. Actively contribute to development of care and safety plans. Deliver accountable services through the application of the Social Work Administrative process. Integrated Programme Facilitation and community work, programme management and community outreach services. Ensure continued professional development by keeping updated with developments in the field.","Ms Trudie Kilian, tel. no. (021) 940 4468",Appropriate qualification as a Social Worker that allows for registration with the South African Council for Social Service Professionals (SACSSP).,"Permanent Reference No: MHS835/2025 Stikland Hospital, Chief Directorate: Metro Health Services"
Administrative Officer: Admissions (Fees and Patient Administration) (3 Posts),GSH352/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"R 325 101- R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Manage and supervise a 24-hour unit, Wards or Clinics with a large component of patient admin clerks. Management of clinicom, billing (AR), JAC, ICD10 coding, Hectis and other fees related systems in line with revenue generation projects. Manage HR, Labour issues including disciplinary processes wrt staff and submit monthly reports and statistics. Manage and ensure the cash collection and handover processes are followed effectively. Ensure accurate classification of patients and management of all administration duties","Mr MA Khan, Tel no (021) 404 3248",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as a passed subject and/or Senior Certificate (or equivalent) with experience/competencies that focuses on the Key Performance Areas (KRA’s) of the post.,Permanent Reference No: GSH352/2025 Groote Schuur Hospital
Administrative Officer: Support Services,"RHS195/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"R 325 101 - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Supervise and maintain acceptable standards of quality of services delivered by the Support Services components (Transport, Registry, Switchboard, Porters, Residence and Recreational areas). Efficient and cost effective monitoring, evaluation and reporting of monthly expenditures against allocated budget. Supervise support staff, manage leave and performance, and ensure compliance with HR policies and disciplinary procedures. Effective and efficient support within Support Services. Effective and efficient administration of the services. Ensure relevant policy implementation and compliance (Occupational Health & Safety, Ideal Hospital Framework, National Core Standards, etc) at the Hospital.","Mrs G Piet, tel. no. (023) 348 1125",Senior Certificate or equivalent.,"Permanent Reference No: RHS195/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Administrative Officer: Finance/Admin (Expenditure),"RHS191/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"R 325 101 - R 382 959 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Document, control, verify, pre-authorise and authorisation of Logis and Bas payments. Responsible for timeous clearance and maintenance of asset and liability accounts. Provide an effective debt control function in accordance with the debt management policy. Assist with the compilation and disclosure of AFS and IFS documentation and reports. Facilitate, attend and provide training and meetings in compliance of financial framework, policies and instructions. Provide monthly reporting and analysis of all financial and supply chain matters. Manage Human Resource Management and related functions within the Finance component.","Mr L Jacobs, tel. no. (023) 348-1106",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as a passed subject and /or Senior certificate (or equivalent) with experience/competencies that focusses on the Key Performance Areas KPAs of the post.,"Permanent Reference No: RHS191/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Porter,"CKD76/2025 Beaufort West Hospital, Central Karoo District","Beaufort West Hospital, Central Karoo District",1/9/2026,"R 138 486 - R 163 131 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Transport of patients. Deliver specimens to laboratories and ensure a safe and hygienic work environment. Accompany walking patients and transport sitting/non-walking patients per trolley or wheelchair between wards and treatment areas. Safe transport of patients on trolleys and wheelchairs to and from different departments/wards and assist with loading of patients in/out of ambulances/vehicles. Carry medical and other documentation (patient files, reports, etc) to wards/treatment and other admin areas. Responsible for the cleanliness of trolleys, wheelchairs, and working areas and report any defects to trolleys/wheelchairs to the supervisor and reply to requests from wards. Render support services to clinical staff, supervisor and colleagues.","Ms M De Koker, tel. no. (023) 414 - 8200",Basic numeracy and literacy skills.,"Permanent Reference No: CKD76/2025 Beaufort West Hospital, Central Karoo District"
Senior Registrar (Neuropsychiatry and Liaison Psychiatry) (2-year Contract) (2 Posts),GSH348/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,R 1 341 855 per annum A portion of the package can be structured according to the individual's personal needs.,"Teaching and Training/Supervision of Junior Staff. Clinical Service Provision. Clinical Governance and Administration. Completion of the logbook of neuropsychiatric cases, presentations and medicolegal aspects. Effective and efficient administration of clinical records and patient reports. Presentations at conferences. Initiate and complete appropriate research project for MPhil in Neuropsychiatry. Participate in the teaching programmes of the Department at a level appropriate to training and experience. Undertake and complete College of Medicine examination for the Certificate Neuropsychiatry (SA).","Prof J Joska, Tel no. (021) 404 2164 or john.joska@uct.ac.za",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Psychiatry.,Contract Reference No: GSH348/2025 Groote Schuur Hospital
Dental Specialist Grade 1 to 3 (Orthodontics) (Oral/Dental Training) (Sessional) (16 hours per week) (3 Year Contract),"MHS831/2025 Oral Health Centre, Tygerberg/Mitchell’s Plain","Oral Health Centre, Tygerberg/Mitchell’s Plain",1/9/2026,"Grade 1: R 646 per hour, Grade 2: R 737 per hour, Grade 3: R 853 per hour Annual salary plus 37% in lieu of service benefits.","Screening of patients on arrival. Record patients details. Identify problems to provide diagnosis. Orthodontic treatment of patients at Oral Health Centre, Tygerberg/Mitchells Plain. Treatment of cleft lip/palate and syndrome patients at Red Cross Hospital (Dental Clinic). Restore function and aesthetics. Record keeping. Responsible for compiling stats.","Dr D Joubert, tel. no. (021) 937 3172",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Dental Specialist in Orthodontics.,"Permanent Reference No: MHS831/2025 Oral Health Centre, Tygerberg/Mitchell’s Plain"
Clinical Procurement Specialist,"RXH81/2025 Red Cross War Memorial Children’s Hospital, Rondebosch","Red Cross War Memorial Children’s Hospital, Rondebosch",1/9/2026,"R 468 459 - R 551 823 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Co-ordinate the evaluation of medical & surgical equipment and consumables for purchase. Liaise with users and suppliers of medical & surgical equipment and consumables. Provide training and guidance on the use of the Essential Supplies List. Assist in the prioritisation of medical / surgical consumables and equipment needs. Represent SCM on various institutional committees. Ensure proper application of contract management. Advisor to the institutional Quotation Committee. Represent RCWMCH on various transversal and provincial bids. Ensure compliance to SCM prescripts. Assist in Procurement Planning and Demand Management.,"Mr. Ebrahim Jacobs, 021 658 5786, Ebrahim.Jacobs@westerncape.gov.za",Appropriate three-year National Diploma/Degree.,"Permanent Reference No: RXH81/2025 Red Cross War Memorial Children’s Hospital, Rondebosch"
Professional Nurse Grade 1 to 3 (General Nursing) (Various components) (6 Posts),MHS761/2025 Khayelitsha District Hospital; Chief Directorate: Metro Health Services,Khayelitsha District Hospital; Chief Directorate: Metro Health Services,1/9/2026,"Grade 1: R 324 384 per annum; Grade 2: R 396 132 per annum; Grade 3: R 476 367 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide direction and supervision for the implementation of the nursing plan (clinical practice and quality patient care). Implement standards, practices, criteria, and indicators for quality nursing. Practice nursing and healthcare in accordance with relevant laws and regulations. Maintain constructive working relationships with nursing and other stakeholders. Utilize human, material, and physical resources efficiently and effectively.",Mrs. D Sabie Tel: (021) 360 4706,Basic R425 qualification (i.e. diploma/degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife.,Permanent Reference No: MHS761/2025 Khayelitsha District Hospital; Chief Directorate: Metro Health Services
Medical Officer Grade 1 to 3 (Anaesthetics),"RHS193/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"Grade 1: R 1 001 349 - R 1 178 116 per annum, Grade 2: R 1 142 553 - R 1 247 202 per annum, Grade 3: R 1 322 352 - R 1 647 630 per annum A portion of the package can be structured according to the individual's personal needs.",Ensure an efficient and cost-effective clinical service of high quality with a patient centered focus and addressing the burden of disease in the Worcester healthcare ecosystem. Ensure compliance by means of maintaining high quality clinical records. Financial management by effective and efficient use of resources. Adhere to requirements for all HR matters and Code of Conduct.,"Dr C van der Westhuizen, tel. no. (023) 348 1141",Appropriate qualification that allows registration with the Health Professional Council of South Africa (HPCSA) as Medical Officer.,"Permanent Reference No: RHS193/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Medical Specialist Grade 1 to 3 (Paediatrics),"RHS192/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"Grade 1: R 1 341 855 - R 1 422 810 per annum, Grade 2: R 1 531 032 - R 1 623 609, Grade 1: R 1 773 222 - R 2 212 680 per annum A portion of the package can be structured according to the individual's personal needs.","Provide comprehensive, efficient and cost-effective patient-centred Paediatric services that is of high quality. Ensure strong Clinical Governance through appropriate clinical audits, quality improvement and research within the department to stay abreast of clinical development. Create a learning environment for students, junior staff and peers at both under- and postgraduate level as required. Improve service delivery in the Rural Central Ecosystem through Outreach and Support to referral centers in the drainage area of Worcester Hospital. Ensure strong Corporate Governance through effective and efficient financial and physical resources, as well as adherence to requirements for all People Management matters.","Dr JJ Fourie, tel. no. (023) 348 1101",Appropriate qualification that allows registration with the Health Professional Council of South Africa (HPCSA) as a Medical Specialist in Paediatrics.,"Permanent Reference No: RHS192/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Medical Specialist Grade 1 to 3 (Medicine: Neurology) (Sessional ) (12 Hours) (Contract until 31 March 2026),GSH351/2025 Groote Schuur Hospital,Groote Schuur Hospital,1/9/2026,"Grade 1: R 646 per hour, Grade 2: R 737 per hour, Grade 3: R 853 per hour A portion of the package can be structured according to the individual's personal needs.","Patient clinical assessment and management, supervision of neurology registrars and neuro-technologist in neurophysiology clinics, as well as oversight of these clinics. Reading electroencephalograms and instructing registrars in the interpretation of electroencephalograms. Participation in epilepsy surgery evaluation clinics. Patient assessment and registrar supervision at general neurology outpatient clinics.","Prof L Tucker, Tel no. (021) 404 3197.",Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Medical Specialist in Neurology.,Contract Reference No: GSH351/2025 Groote Schuur Hospital
Medical Technologist Grade 1 to 3,"ECSS140/2025 Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS","Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS",1/9/2026,"Grade 1: R 397 233 - R 454 191 per annum, Grade 2: R 463 941 - R 529 221 per annum, Grade 3: R 543 099 - R 657 507 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Effective Clinical Service delivery and transformation. Effective and efficient Clinical Governance and Quality Assurance. Effective Corporate Governance. Effective and efficient administrative and academic responsibilities.,Dr. IJ Molefe (Itumeleng.Molefe@uct.ac.za),Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as Medical Technologist in Histopathology.,"Permanent Reference No: ECSS140/2025 Forensic Medicine and Toxicology, Observatory Forensic Pathology Institute, CD: ECSS"
Clinical Manager (Medical) Grade 1,"MHS839/2025 Klipfontein/Mitchells Plain Sub-Structure Office, Chief Directorate: Metro Health Services","Klipfontein/Mitchells Plain Sub-Structure Office, Chief Directorate: Metro Health Services",1/9/2026,Grade 1: R 1 422 810 - R 1 576 977 per annum A portion of the package can be structured according to the individual's personal needs.,"Overall strategic, clinical and corporate governance for the Klipfontein/Mitchells Plain Sub-Structure. Ensure Quality Assurance and Medico Legal services for the Sub-structure. Clinical Governance systems design to support service improvement initiatives/innovation. Ensure implementation of service re-design and support within ecosystems. Ensure compliance with finance and supply chain processes with a focus on efficient service provision. Act as custodian of the clinical governance (internal and external) and mentoring of clinical staff in the Sub-structure. Co-ordinate and facilitate outreach and support within the ecosystem and to surrounding PHC facilities.","Ms P Olckers, tel no. (021) 370 5007",Appropriate Qualification that allows for registration with the Health Professions Council of South Africa as a Medical Practitioner.,"Permanent Reference No: MHS839/2025 Klipfontein/Mitchells Plain Sub-Structure Office, Chief Directorate: Metro Health Services"
Dietician Grade 1 to 3,"MHS834/2025 Macassar CDC, Chief Directorate: Metro Health Services","Macassar CDC, Chief Directorate: Metro Health Services",1/9/2026,"Grade 1: R 397 233 per annum; Grade 2: R 463 941 per annum; Grade 3: R 543 099 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Managing burden of disease by improving nutrition in the early life and late life course to all patients. Provide community outreach, conduct projects and activities by rendering a therapeutic service Capacitated workforce. Provide in-service training and mentoring of all categories of personnel and students on nutrition related topics to. General administration including assisting with planning, reporting activities conducted, and monitoring of nutritional programmes.",Ms. G Viana (021) 857 2330,Appropriate qualification that allows registration with the Health Professions Council of South Africa (HPCSA) as a Dietician.,"Permanent Reference No: MHS834/2025 Macassar CDC, Chief Directorate: Metro Health Services"
"Operational Manager Nursing (Speciality: Specialised Units: Theatre, Trauma & Maternity)","GRD205/2025 Riversdale Hospital, Garden Route District","Riversdale Hospital, Garden Route District",1/9/2026,"R 693 096 per annum - R 789 861 per annum (Plus non pensionable rural allowance of 8% of your annual basic salary) Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible for the coordination and delivery of quality nursing care within the Operating Theatre and Central Sterilization Unit, Maternity and Obstetric Unit & Emergency Trauma Unit. Participate in formulating, monitoring and implementation of policies, guidelines, standards, procedures and regulations within the relevant department. Manage human resources, including staff performance, people development and disciplinary processes. Manage material and financial resources. Provide effective support and management of functional business unit management principles. Effective management of information to enhance service delivery.","Mr N.L Mphato, tel. no. (044) 604-6104","Basic R425 qualification (i.e. diploma/degree) in Nursing or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife. A post-basic qualification, with a duration of at least 1 year, accredited with the SANC in Medical and Surgical Nursing Science: Operating Theatre or Advanced Midwifery and Neonatal Nursing Science or Medical and Surgical Nursing Science: Critical Care Nursing: General or Trauma and Emergency.","Permanent Reference No: GRD205/2025 Riversdale Hospital, Garden Route District"
Professional Nurse Grade 1 to 2 (Specialty Nursing: OPD; Orthopaedics),"MHS823/2025 Mitchells Plain District Hospital, Chief Directorate: Metro Health Services","Mitchells Plain District Hospital, Chief Directorate: Metro Health Services",1/9/2026,"Grade 1: R 476 367 - R 559 548 per annum, Grade 2: R 583 989 - R 723 954 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide an optimal, holistic, specialized Nursing Care within set standards and within a professional, legal framework as a Professional Specialist Nurse in Orthopaedic Nursing. Maintain a constructive working relationship with nursing and other stakeholders. Utilise human, material and physical resources efficiently and effectively. Participate in research and training and development of community, staff and students to achieve optimal health care and rehabilitation of orthopaedic patients. Assist with administrative duties, e.g. data collation and reporting.",Mr R Geswindt tel. no. (021) 377- 4410,Basic R425 qualification ( Degree/Diploma in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse. A Post basic nursing qualification with a duration of at least 1 year accredited with the SANC in Medical and Surgical Nursing Science: Orthopaedic Nursing.,"Permanent Reference No: MHS823/2025 Mitchells Plain District Hospital, Chief Directorate: Metro Health Services"
"Staff Nurse Grade 1 to 3 (ICU High Care) (1 post), (Theatre) (1 post), (Obs & Gynaecology) (2 posts)","RHS184/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"Grade 1: R 220 614 per annum; Grade 2: R 262 287 per annum; Grade 3: R 306 798 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).",Develop and implement basic patient care by providing individual direct and indirect health care under supervision of the Professional Nurse. Responsible to provide basic clinical nursing care within SANC Scope of Practice and competency training as required. Effective health promotion and information to patient/client and community. Participate in the effective utilization of physical and financial resources to maintain standards and ensure quality care. Maintain professional growth/ethical standards and self-development.,Mr S Bruiners tel. no. 023 348 1104,Qualification that allows registration with SANC as a Staff Nurse.,"Permanent Reference No: RHS184/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Assistant Manager Nursing: General (Night Duty),"RHS182/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services","Worcester Regional Hospital, Chief Directorate: Rural Health Services",1/9/2026,"R 693 096 per annum - R 813 732 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Overall coordination, implementation and monitoring of the strategic objectives of nursing, the facility and the Department of Health and Wellness. Effective management and coordination of quality nursing care within set standards and within legal and professional frameworks. Manage and facilitate both human resources and financial resources. Management of information through the collection and analysis of data, report writing and development and implementation of relevant interventions. Policy development and implementation.","Mr S Bruiners, tel no. (023) 348-1104.",Basic R425 qualification (i.e. degree/diploma) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as a Professional Nurse and Midwife/Accoucheur.,"Permanent Reference No: RHS182/2025 Worcester Regional Hospital, Chief Directorate: Rural Health Services"
Professional Nurse Grade 1 to 2 (Specialty Nursing: Occupational Health and Safety/IPC/Quality Assurance),"MHS759/2025 False Bay Hospital, Southern Western Sub-structure,","False Bay Hospital, Southern Western Sub-structure,",1/9/2026,"Grade 1: R 476 367 - R 559 548 per annum, Grade 2: R 583 989 - R 723 954 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","• Provide Occupational Health Clinical Services at institutional level (promoting Health, Safety and Wellness in the workplace). • Provide advisory services on all Occupational Health and Safety matters. • Render an efficient administrative system and control of the Occupational Health Service. • Conduct Risk assessment audits. • Participate in training programmes in conjunction with People Management and Training Departments as required. • Management & Promotion of Quality Assurance and Infection Prevention and Control (liaise with IPC related matters).","Ms B Tyutu, tel. no. (021) 832 5206",• Basic R425 qualification (i.e. diploma / degree in nursing) or equivalent qualification that allows registration with the South African Nursing Council (SANC) as Professional Nurse. • A post-basic nursing qualification with a duration of at least 1 year accredited with the SANC in Occupational Health Nursing Science.,"Permanent Reference No: MHS759/2025 False Bay Hospital, Southern Western Sub-structure,"
Nursing Assistant Grade 1 to 3 (General) (5 posts),"MHS790/2025 False Bay Hospital, Southern Western Sub-structure,","False Bay Hospital, Southern Western Sub-structure,",1/9/2026,"Grade 1: R 174 261 - R 199 254 per annum, Grade 2: R 203 271 - R 230 694 per annum, Grade 3: R 239 559 - R 298 932 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide quality basic nursing care. Provide elementary clinical nursing care. Practice nursing in accordance with the laws and regulations relevant to nursing. Assist Patients with activities of daily living, which includes, nutritional status, mobility and elimination needs. Maintaining professional growth, ethical standards and self-development. Record keeping Utilise human, material and physical resources efficiently and effectively.","Ms B Tyutu, tel .no. 021 – 832 5206.",Qualification that allows registrations with the SANC as a Nursing Assistant.,"Permanent Reference No: MHS790/2025 False Bay Hospital, Southern Western Sub-structure,"
Senior Administrative Officer: Finance and Supply Chain Management,"OD104/2025 Hermanus Hospital, Overberg District","Hermanus Hospital, Overberg District",1/9/2026,"R 397 116 per annum - R 467 790 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Responsible for overall management for all Supply Chain Management functions and ensure the effective and efficient application of procurement policies and processes Responsible for Inventory control, warehouse management and Asset Management processes. Accurate and timeous preparation of reports and assist with the compilation of the Annual and Interim Financial statements. Clearing Asset and Liabilities accounts Supervise Patient Administration, Medical Records, and Hospital Fees Departments. Ensure sound Labour practices are executed and implemented.","Ms CE Langley, tel. no. (028) 313-5220",Appropriate three-year National Diploma or Degree.,"Permanent Reference No: OD104/2025 Hermanus Hospital, Overberg District"
Administration Clerk: Finance/Admin (Finance Income/Admissions),"WCD180/2025 Vredendal Hospital, Matzikama Sub-district: West Coast District","Vredendal Hospital, Matzikama Sub-district: West Coast District",1/9/2026,"R 228 321 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Rendering of billing services to in-patients - control the correctness of the hospital patient bills, medical aids, road accident fund and privately funded patients. Rendering of billing services to out-patients. Follow-up procedures and release of invoices. Patient administration support services, including the printing of reports to identify all State Departments, WCA, RAF, H2, H3, Medical Aid and Private Doctor out-patients admitted and discharged. Liaise with relevant role players in matters relating to Patient Administration, Hospital Fees, and Case Management.","Ms CA Davids, tel. no. (027) 213 2038",Senior Certificate (or equivalent) with Mathematics and/or Accountancy as a passed subject and/or Senior Certificate (or equivalent) with experience/competencies that focuses on the Key Performance Areas (KRA’s) of the post.,"Permanent Reference No: WCD180/2025 Vredendal Hospital, Matzikama Sub-district: West Coast District"
Pharmacist Assistant (Post Basic) Grade 1 to 3,"GRD204/2025 Calitzsdorp CC, Kannaland Sub-district, (Stationed at Alan Blyth Hospital),","Calitzsdorp CC, Kannaland Sub-district, (Stationed at Alan Blyth Hospital),",1/9/2026,"Grade 1: R 264 750 - R 298 482 per annum, Grade 2: R 306 411 - R 324 117 per annum, Grade 3: R 330 540 - R 375 381 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Working under both direct and indirect supervision of a pharmacist within the hospital and clinic environment, respectively. Manage drug supply within the facilities, including but not limited to correct ordering of stock, receiving and checking of stock, appropriate stock control and storage, rotation of stock to prevent expiry, accurate handling of expired stock, and appropriate temperature control. Dispensing and issuing of acute and chronic scripts according to Standard Treatment Guidelines and the WCGHW Pharmaceutical Code List. Issuing medication prepared by Tertiary Institutions and CDU (Chronic Dispensing Unit) and the management thereof. Support to the pharmacy supervisor and colleagues within the Kannaland Sub-District, within scope of practice. Ensure the provision of high-quality services measured by outcomes of quality assurance activities.","Ms E Canovi, tel no: (028) 551 - 1010",As required by the training facility and the South African Pharmacy Council (SAPC) plus Post-Basic Pharmacist Assistant qualification that allows registration with SAPC as a Pharmacist Assistant (Post-Basic) or Pharmacist Assistant (Post-Basic) Institutional.,"Permanent Reference No: GRD204/2025 Calitzsdorp CC, Kannaland Sub-district, (Stationed at Alan Blyth Hospital),"
Diagnostic Radiographer Grade 1 to 3,RXH83/2025 Red Cross War Memorial Children’s Hospital,Red Cross War Memorial Children’s Hospital,1/9/2026,"Grade 1: R 397,233 per annum, Grade 2: R 463,941 per annum, Grade 3: R 543,099 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide a radiographic service for paediatric patients and produce diagnostic images of high quality. Provide optimal patient care. Imaging of paediatric patients in specialized areas. Perform CT Scan imaging, Digital Radiography, Fluoroscopy, Theatre, DR Mobiles, Panorex Imaging and Lodox. Optimal use and care of equipment and daily quality checks. Participate in personal, departmental and hospital in-service and training programs. Provide relief duty in absence of the colleagues and provide support to supervisor.","Mrs C Pietersen, tel.no. (021) 658 5104",Appropriate qualification that allows for registration with the Health Professions Council of South Africa (HPCSA) as a Radiographer in Diagnostic Radiography.,Permanent Reference No: RXH83/2025 Red Cross War Memorial Children’s Hospital
Professional Nurse Grade 1 to 2: Specialty (Theatre and Day Ward) (4 posts),MHS811/2025 New Somerset Hospital,New Somerset Hospital,1/9/2026,"Grade 1: R 476,367 per annum, Grade 2: R 583,989 per annum Annual salary plus service benefits (13th cheque, employer's contribution to the pension fund, housing and medical aid allowance).","Provide safe and comprehensive care delivered to patients in theatre. Provision of optimal, holistic specialised care with set standards within professional/legal framework. Ensure adherence to the principles of IPC practices in the theatre. Ensure accurate record keeping for statistical and legal purposes. Support and supervise students and subordinates in theatre. Effective utilization of resources.","Ms S Basardien, tel. no. (021) 402 6485","Basic R425 qualification (i.e., diploma/degree in nursing) or equivalent qualification that allows registration with the South African Council (SANC) as a Professional Nurse and midwife. A post-basic nursing qualification, with duration of at least 1 year, accredited with SANC in Medical and Surgical Nursing Science: Operating theatre technique, which allows registration with SANC.",Permanent Reference No: MHS811/2025 New Somerset Hospital
